variant_id,run_id,record_view,split,status,report_path,trade_count,trades_per_day,net_profit,profit_factor_recomputed,expectancy,cost_stress_per_trade,cost_stressed_expectancy,mfe_capture_ratio,mfe_capture_ratio_all_trades,reference_mfe_capture_ratio,mfe_capture_delta_vs_d390h10,mfe_capture_materially_worse_than_d390h10,winner_count,winner_truncation_rate,loser_count,loser_escape_rate,same_direction_reentry_3_bars,same_direction_reentry_6_bars,same_direction_reentry_12_bars,same_move_reentry_ratio,density_gain_survives_12bar_cooldown,mt5_average_position_holding_bars,cooldown_window_bars,cooldown_removed_trades,trade_count_after_cooldown,trades_per_day_after_cooldown,net_after_cooldown,profit_factor_after_cooldown,error
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_validation_is.htm,748,4.087431694,341.54,1.129371212,0.4566042781,0.3,0.1566042781,0.6400747268,-4.679334266,,,False,380,0.2921052632,368,0.3179347826,394,419,456,0.6096256684,False,22.68,12,456,292,1.595628415,141.07,1.149113164,
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_oos.htm,594,3.046153846,273.2,1.121265924,0.4599326599,0.3,0.1599326599,0.6282646615,-2.954786603,,,False,308,0.3214285714,286,0.2657342657,302,332,354,0.595959596,False,22.61333333,12,354,240,1.230769231,373.66,1.462273138,
s252_binding_control,run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_binding_control,mt5_routed_s252_binding_control_validation_is,validation_is,completed,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/mt5/reports/Project_Obsidian_Prime_v2_run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_binding_control_rt_val.htm,269,1.469945355,972.15,1.586972667,3.61394052,0.3,3.31394052,0.677345952,-7.045644831,0.6400747268,0.0372712252,False,148,0.2432432432,121,0.2396694215,0,0,16,0.0594795539,False,11.58666667,12,16,253,1.382513661,910.06,1.561110803,
s252_binding_control,run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_binding_control,mt5_routed_s252_binding_control_oos,oos,completed,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/mt5/reports/Project_Obsidian_Prime_v2_run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_binding_control_rt_oos.htm,195,1,776.02,1.775973442,3.979589744,0.3,3.679589744,0.7127462824,-2.891563808,0.6282646615,0.08448162087,False,110,0.2272727273,85,0.2352941176,0,0,10,0.05128205128,False,6.533333333,12,10,185,0.9487179487,753.84,1.781472881,
s252_short_low_score006,run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_short_low_score006,mt5_routed_s252_short_low_score006_validation_is,validation_is,completed,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/mt5/reports/Project_Obsidian_Prime_v2_run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_short_low_score006_rt_val.htm,269,1.469945355,830.35,1.583750457,3.086802974,0.3,2.786802974,0.6773099847,-7.045690271,0.6400747268,0.03723525791,False,148,0.2432432432,121,0.2396694215,0,0,16,0.0594795539,False,11.58666667,12,16,253,1.382513661,777.31,1.559087117,
s252_short_low_score006,run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_short_low_score006,mt5_routed_s252_short_low_score006_oos,oos,completed,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/mt5/reports/Project_Obsidian_Prime_v2_run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_short_low_score006_rt_oos.htm,195,1,710.44,1.806246241,3.643282051,0.3,3.343282051,0.712782441,-2.89228,0.6282646615,0.08451777944,False,110,0.2272727273,85,0.2352941176,0,0,10,0.05128205128,False,6.533333333,12,10,185,0.9487179487,686.41,1.811215506,
s252_long_low_score006,run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_long_low_score006,mt5_routed_s252_long_low_score006_validation_is,validation_is,completed,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/mt5/reports/Project_Obsidian_Prime_v2_run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_long_low_score006_rt_val.htm,269,1.469945355,905.08,1.568774823,3.364609665,0.3,3.064609665,0.6819416064,-7.047546438,0.6400747268,0.04186687954,False,147,0.2380952381,121,0.2396694215,0,0,16,0.0594795539,False,11.58666667,12,16,253,1.382513661,846.67,1.542316537,
s252_long_low_score006,run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_long_low_score006,mt5_routed_s252_long_low_score006_oos,oos,completed,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/mt5/reports/Project_Obsidian_Prime_v2_run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_long_low_score006_rt_oos.htm,195,1,726.7,1.759677605,3.726666667,0.3,3.426666667,0.7127003697,-2.891423983,0.6282646615,0.0844357082,False,110,0.2272727273,85,0.2352941176,0,0,10,0.05128205128,False,6.533333333,12,10,185,0.9487179487,708.33,1.764753514,
s252_short_low_gate,run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_short_low_gate,mt5_routed_s252_short_low_gate_validation_is,validation_is,completed,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/mt5/reports/Project_Obsidian_Prime_v2_run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_short_low_gate_rt_val.htm,175,0.956284153,336.96,1.532322275,1.925485714,0.3,1.625485714,0.6627838675,-9.634515365,0.6400747268,0.02270914063,False,104,0.2596153846,71,0.2957746479,0,0,10,0.05714285714,False,3.29,12,10,165,0.9016393443,315.99,1.518186291,
s252_short_low_gate,run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_short_low_gate,mt5_routed_s252_short_low_gate_oos,oos,completed,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/mt5/reports/Project_Obsidian_Prime_v2_run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_short_low_gate_rt_oos.htm,137,0.7025641026,386.49,1.865385907,2.821094891,0.3,2.521094891,0.7132598557,-1.893013436,0.6282646615,0.08499519421,False,81,0.2222222222,56,0.2321428571,0,0,9,0.06569343066,False,2.923333333,12,9,128,0.6564102564,359.53,1.842997491,
s252_long_low_gate,run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_long_low_gate,mt5_routed_s252_long_low_gate_validation_is,validation_is,completed,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/mt5/reports/Project_Obsidian_Prime_v2_run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_long_low_gate_rt_val.htm,182,0.9945355191,611.36,1.517627934,3.359120879,0.3,3.059120879,0.6761514813,-2.798854212,0.6400747268,0.03607675446,False,93,0.247311828,89,0.2134831461,0,0,6,0.03296703297,False,15.60666667,12,6,176,0.9617486339,578.87,1.493310267,
s252_long_low_gate,run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_long_low_gate,mt5_routed_s252_long_low_gate_oos,oos,completed,stages/252_adapter_research__asymmetric_binding_repair_after_stage250_overprune/02_runs/run252A/mt5/reports/Project_Obsidian_Prime_v2_run252A_stage252_asymmetric_binding_repair_after_stage250_overprune_v1_s252_long_low_gate_rt_oos.htm,131,0.6717948718,488.04,1.704801791,3.725496183,0.3,3.425496183,0.6988672483,-3.557765982,0.6282646615,0.07060258681,False,70,0.2571428571,61,0.2459016393,0,0,4,0.03053435115,False,8.25,12,4,127,0.6512820513,490.56,1.721655854,
