variant_id,run_id,record_view,split,status,report_path,trade_count,trades_per_day,net_profit,profit_factor_recomputed,expectancy,cost_stress_per_trade,cost_stressed_expectancy,mfe_capture_ratio,mfe_capture_ratio_all_trades,reference_mfe_capture_ratio,mfe_capture_delta_vs_d390h10,mfe_capture_materially_worse_than_d390h10,winner_count,winner_truncation_rate,loser_count,loser_escape_rate,same_direction_reentry_3_bars,same_direction_reentry_6_bars,same_direction_reentry_12_bars,same_move_reentry_ratio,density_gain_survives_12bar_cooldown,mt5_average_position_holding_bars,cooldown_window_bars,cooldown_removed_trades,trade_count_after_cooldown,trades_per_day_after_cooldown,net_after_cooldown,profit_factor_after_cooldown,error
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_validation_is.htm,748,4.087431694,341.54,1.129371212,0.4566042781,0.3,0.1566042781,0.6400747268,-4.679334266,,,False,380,0.2921052632,368,0.3179347826,394,419,456,0.6096256684,False,22.68,12,456,292,1.595628415,141.07,1.149113164,
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_oos.htm,594,3.046153846,273.2,1.121265924,0.4599326599,0.3,0.1599326599,0.6282646615,-2.954786603,,,False,308,0.3214285714,286,0.2657342657,302,332,354,0.595959596,False,22.61333333,12,354,240,1.230769231,373.66,1.462273138,
s231_session_ref_h3_cd8,run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_session_ref_h3_cd8,mt5_routed_s231_session_ref_h3_cd8_validation_is,validation_is,completed,stages/231_adapter_research__midpf_oos_repair_after_guard_blend_failure/02_runs/run231A/mt5/reports/Project_Obsidian_Prime_v2_run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_session_ref_h3_cd8_rt_val.htm,269,1.469945355,952.16,1.60008067,3.539628253,0.3,3.239628253,0.6773077989,-7.045807504,0.6400747268,0.0372330721,False,148,0.2432432432,121,0.2396694215,0,0,16,0.0594795539,False,11.58666667,12,16,253,1.382513661,891.61,1.574487278,
s231_session_ref_h3_cd8,run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_session_ref_h3_cd8,mt5_routed_s231_session_ref_h3_cd8_oos,oos,completed,stages/231_adapter_research__midpf_oos_repair_after_guard_blend_failure/02_runs/run231A/mt5/reports/Project_Obsidian_Prime_v2_run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_session_ref_h3_cd8_rt_oos.htm,195,1,719.48,1.74146442,3.689641026,0.3,3.389641026,0.7127440841,-2.89155008,0.6282646615,0.08447942261,False,110,0.2272727273,85,0.2352941176,0,0,10,0.05128205128,False,6.533333333,12,10,185,0.9487179487,692.79,1.738440385,
s231_wide_h2_cd8,run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_wide_h2_cd8,mt5_routed_s231_wide_h2_cd8_validation_is,validation_is,completed,stages/231_adapter_research__midpf_oos_repair_after_guard_blend_failure/02_runs/run231A/mt5/reports/Project_Obsidian_Prime_v2_run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_wide_h2_cd8_rt_val.htm,285,1.557377049,378.06,1.449434729,1.326526316,0.3,1.026526316,0.6283602529,-4.37878004,0.6400747268,-0.01171447395,False,160,0.33125,125,0.344,0,0,16,0.05614035088,False,2.246666667,12,16,269,1.469945355,374.66,1.461585847,
s231_wide_h2_cd8,run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_wide_h2_cd8,mt5_routed_s231_wide_h2_cd8_oos,oos,completed,stages/231_adapter_research__midpf_oos_repair_after_guard_blend_failure/02_runs/run231A/mt5/reports/Project_Obsidian_Prime_v2_run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_wide_h2_cd8_rt_oos.htm,202,1.035897436,237.4,1.416410868,1.175247525,0.3,0.8752475248,0.6629089288,-3.18196462,0.6282646615,0.03464426734,False,107,0.2803738318,95,0.3052631579,0,0,7,0.03465346535,False,2.5,12,7,195,1,239.09,1.432100774,
s231_wide_h3_cd12,run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_wide_h3_cd12,mt5_routed_s231_wide_h3_cd12_validation_is,validation_is,completed,stages/231_adapter_research__midpf_oos_repair_after_guard_blend_failure/02_runs/run231A/mt5/reports/Project_Obsidian_Prime_v2_run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_wide_h3_cd12_rt_val.htm,263,1.43715847,982.55,1.599799772,3.735931559,0.3,3.435931559,0.6850341326,-2.66525418,0.6400747268,0.04495940574,False,146,0.2260273973,117,0.2307692308,0,0,3,0.01140684411,False,11.75666667,12,3,260,1.420765027,964.33,1.589591524,
s231_wide_h3_cd12,run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_wide_h3_cd12,mt5_routed_s231_wide_h3_cd12_oos,oos,completed,stages/231_adapter_research__midpf_oos_repair_after_guard_blend_failure/02_runs/run231A/mt5/reports/Project_Obsidian_Prime_v2_run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_wide_h3_cd12_rt_oos.htm,189,0.9692307692,620.85,1.670196574,3.284920635,0.3,2.984920635,0.7095599066,-3.250222217,0.6282646615,0.08129524508,False,107,0.2336448598,82,0.2317073171,0,0,0,0,False,6.653333333,12,0,189,0.9692307692,620.85,1.670196574,
s231_wide_h2_cd12,run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_wide_h2_cd12,mt5_routed_s231_wide_h2_cd12_validation_is,validation_is,completed,stages/231_adapter_research__midpf_oos_repair_after_guard_blend_failure/02_runs/run231A/mt5/reports/Project_Obsidian_Prime_v2_run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_wide_h2_cd12_rt_val.htm,268,1.464480874,366.2,1.456079608,1.36641791,0.3,1.06641791,0.6230303299,-1.95791415,0.6400747268,-0.01704439696,False,151,0.3377483444,117,0.3418803419,0,0,3,0.01119402985,False,2.25,12,3,265,1.448087432,363.97,1.45538373,
s231_wide_h2_cd12,run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_wide_h2_cd12,mt5_routed_s231_wide_h2_cd12_oos,oos,completed,stages/231_adapter_research__midpf_oos_repair_after_guard_blend_failure/02_runs/run231A/mt5/reports/Project_Obsidian_Prime_v2_run231A_stage231_midpf_oos_repair_after_guard_blend_failure_v1_s231_wide_h2_cd12_rt_oos.htm,193,0.9897435897,238.71,1.443040089,1.236839378,0.3,0.9368393782,0.667620709,-3.292733698,0.6282646615,0.03935604753,False,103,0.2718446602,90,0.3111111111,0,0,0,0,False,2.523333333,12,0,193,0.9897435897,238.71,1.443040089,
