variant_id,run_id,record_view,split,status,report_path,trade_count,trades_per_day,net_profit,profit_factor_recomputed,expectancy,cost_stress_per_trade,cost_stressed_expectancy,mfe_capture_ratio,mfe_capture_ratio_all_trades,reference_mfe_capture_ratio,mfe_capture_delta_vs_d390h10,mfe_capture_materially_worse_than_d390h10,winner_count,winner_truncation_rate,loser_count,loser_escape_rate,same_direction_reentry_3_bars,same_direction_reentry_6_bars,same_direction_reentry_12_bars,same_move_reentry_ratio,density_gain_survives_12bar_cooldown,mt5_average_position_holding_bars,cooldown_window_bars,cooldown_removed_trades,trade_count_after_cooldown,trades_per_day_after_cooldown,net_after_cooldown,profit_factor_after_cooldown,error
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_validation_is.htm,748,4.087431694,341.54,1.129371212,0.4566042781,0.3,0.1566042781,0.6400747268,-4.679334266,,,False,380,0.2921052632,368,0.3179347826,394,419,456,0.6096256684,False,22.68,12,456,292,1.595628415,141.07,1.149113164,
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_oos.htm,594,3.046153846,273.2,1.121265924,0.4599326599,0.3,0.1599326599,0.6282646615,-2.954786603,,,False,308,0.3214285714,286,0.2657342657,302,332,354,0.595959596,False,22.61333333,12,354,240,1.230769231,373.66,1.462273138,
s194_ref_r0330,run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_ref_r0330,mt5_routed_s194_ref_r0330_validation_is,validation_is,completed,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_ref_r0330_rt_val.htm,214,1.169398907,1021.45,1.704001599,4.773130841,0.3,4.473130841,0.6921325643,-8.698257919,0.6400747268,0.05205783747,False,115,0.2173913043,99,0.2121212121,0,0,13,0.06074766355,False,14.64,12,13,201,1.098360656,985.33,1.702632742,
s194_ref_r0330,run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_ref_r0330,mt5_routed_s194_ref_r0330_oos,oos,completed,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_ref_r0330_rt_oos.htm,153,0.7846153846,772.34,1.900614527,5.047973856,0.3,4.747973856,0.7306437254,-2.929670469,0.6282646615,0.1023790639,False,85,0.2,68,0.25,0,1,8,0.0522875817,False,7.523333333,12,8,145,0.7435897436,746.7,1.890285196,
s194_bctl_tp475_r0330,run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_bctl_tp475_r0330,mt5_routed_s194_bctl_tp475_r0330_validation_is,validation_is,completed,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_bctl_tp475_r0330_rt_val.htm,236,1.289617486,1161.27,1.72866286,4.920635593,0.3,4.620635593,0.6789860717,-7.913786463,0.6400747268,0.03891134487,False,131,0.2366412214,105,0.219047619,0,0,16,0.06779661017,False,13.58333333,12,16,220,1.202185792,1131.41,1.738740092,
s194_bctl_tp475_r0330,run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_bctl_tp475_r0330,mt5_routed_s194_bctl_tp475_r0330_oos,oos,completed,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_bctl_tp475_r0330_rt_oos.htm,162,0.8307692308,843.9,1.947808215,5.209259259,0.3,4.909259259,0.7190458255,-2.741571165,0.6282646615,0.09078116402,False,93,0.2150537634,69,0.2463768116,0,1,9,0.05555555556,False,7.283333333,12,9,153,0.7846153846,814.87,1.935417217,
s194_hold2_r0330,run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_hold2_r0330,mt5_routed_s194_hold2_r0330_validation_is,validation_is,completed,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_hold2_r0330_rt_val.htm,209,1.142076503,380.76,1.608291397,1.821818182,0.3,1.521818182,0.6325697538,-4.986699345,0.6400747268,-0.007504973032,False,117,0.3418803419,92,0.347826087,0,0,6,0.02870813397,False,2.34,12,6,203,1.109289617,398.08,1.661251474,
s194_hold2_r0330,run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_hold2_r0330,mt5_routed_s194_hold2_r0330_oos,oos,completed,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_hold2_r0330_rt_oos.htm,148,0.758974359,313.41,1.681563152,2.117635135,0.3,1.817635135,0.6654545323,-3.051469181,0.6282646615,0.03718987083,False,82,0.2926829268,66,0.2272727273,0,0,4,0.02702702703,False,2.673333333,12,4,144,0.7384615385,317.24,1.707587991,
s194_cd8_r0330,run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_cd8_r0330,mt5_routed_s194_cd8_r0330_validation_is,validation_is,completed,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_cd8_r0330_rt_val.htm,211,1.153005464,1016.33,1.710114448,4.816729858,0.3,4.516729858,0.6954878993,-8.794722129,0.6400747268,0.05541317247,False,113,0.2123893805,98,0.2142857143,0,0,10,0.04739336493,False,14.80666667,12,10,201,1.098360656,983.5,1.702756004,
s194_cd8_r0330,run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_cd8_r0330,mt5_routed_s194_cd8_r0330_oos,oos,completed,stages/194_adapter_research__tp475_late_concentration_midpf_repair/02_runs/run194A/mt5/reports/Project_Obsidian_Prime_v2_run194A_stage194_tp475_late_concentration_midpf_repair_v1_s194_cd8_r0330_rt_oos.htm,151,0.7743589744,753.5,1.884721961,4.990066225,0.3,4.690066225,0.7365244092,-2.974934506,0.6282646615,0.1082597477,False,83,0.1927710843,68,0.25,0,0,6,0.03973509934,False,7.583333333,12,6,145,0.7435897436,740.31,1.888908901,
