variant_id,run_id,record_view,split,status,report_path,trade_count,trades_per_day,net_profit,profit_factor_recomputed,expectancy,cost_stress_per_trade,cost_stressed_expectancy,mfe_capture_ratio,mfe_capture_ratio_all_trades,reference_mfe_capture_ratio,mfe_capture_delta_vs_d390h10,mfe_capture_materially_worse_than_d390h10,winner_count,winner_truncation_rate,loser_count,loser_escape_rate,same_direction_reentry_3_bars,same_direction_reentry_6_bars,same_direction_reentry_12_bars,same_move_reentry_ratio,cooldown_window_bars,cooldown_removed_trades,trade_count_after_cooldown,trades_per_day_after_cooldown,net_after_cooldown,profit_factor_after_cooldown,density_gain_survives_12bar_cooldown,mt5_average_position_holding_bars,error
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_validation_is.htm,748,4.087431693989071,341.54,1.129371212121212,0.4566042780748663,0.5,-0.04339572192513369,0.6400747268409855,-4.6793342664473165,,,False,380,0.29210526315789476,368,0.3179347826086957,394,419,456,0.6096256684491979,12,456,292,1.5956284153005464,141.07000000000002,1.1491131640699324,False,22.68,
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_oos.htm,594,3.046153846153846,273.2,1.1212659239202805,0.4599326599326599,0.5,-0.040067340067340085,0.6282646615086092,-2.9547866025737006,,,False,308,0.32142857142857145,286,0.26573426573426573,302,332,354,0.5959595959595959,12,354,240,1.2307692307692308,373.66,1.462273137781297,False,22.613333333333333,
d330h06_b042_c1,run50F_d330h06_b042_c1_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50F/d330h06_b042_c1/mt5/reports/Project_Obsidian_Prime_v2_run50F_d330h06_b042_c1_logreg_deep_v1_routed_validation_is.htm,1170,6.39344262295082,33.330000000000005,1.0102801835813162,0.028487179487179493,0.5,-0.4715128205128205,0.6184321345978587,-4.709345842881714,0.6400747268409855,-0.021642592243126813,False,568,0.3204225352112676,602,0.3073089700996678,708,755,811,0.6931623931623931,12,811,359,1.9617486338797814,18.909999999999986,1.0189924271337607,False,13.690000000000001,
d330h06_b042_c1,run50F_d330h06_b042_c1_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50F/d330h06_b042_c1/mt5/reports/Project_Obsidian_Prime_v2_run50F_d330h06_b042_c1_logreg_deep_v1_routed_oos.htm,928,4.758974358974359,86.1,1.0328037489998858,0.09278017241379309,0.5,-0.4072198275862069,0.6223680491193274,-5.08654064934884,0.6282646615086092,-0.005896612389281741,False,467,0.32119914346895073,461,0.3362255965292842,571,614,662,0.7133620689655172,12,662,266,1.3641025641025641,333.96,1.5331502737910887,False,14.146666666666667,
d320h06_b042_c1,run50F_d320h06_b042_c1_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50F/d320h06_b042_c1/mt5/reports/Project_Obsidian_Prime_v2_run50F_d320h06_b042_c1_logreg_deep_v1_routed_validation_is.htm,1170,6.39344262295082,33.330000000000005,1.0102801835813162,0.028487179487179493,0.5,-0.4715128205128205,0.6184321345978587,-4.709345842881714,0.6400747268409855,-0.021642592243126813,False,568,0.3204225352112676,602,0.3073089700996678,708,755,811,0.6931623931623931,12,811,359,1.9617486338797814,18.909999999999986,1.0189924271337607,False,13.690000000000001,
d320h06_b042_c1,run50F_d320h06_b042_c1_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50F/d320h06_b042_c1/mt5/reports/Project_Obsidian_Prime_v2_run50F_d320h06_b042_c1_logreg_deep_v1_routed_oos.htm,928,4.758974358974359,86.1,1.0328037489998858,0.09278017241379309,0.5,-0.4072198275862069,0.6223680491193274,-5.08654064934884,0.6282646615086092,-0.005896612389281741,False,467,0.32119914346895073,461,0.3362255965292842,571,614,662,0.7133620689655172,12,662,266,1.3641025641025641,333.96,1.5331502737910887,False,14.146666666666667,
d330h06_b045_c1,run50F_d330h06_b045_c1_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50F/d330h06_b045_c1/mt5/reports/Project_Obsidian_Prime_v2_run50F_d330h06_b045_c1_logreg_deep_v1_routed_validation_is.htm,1159,6.333333333333333,53.400000000000006,1.0165891058658334,0.046074201898188095,0.5,-0.4539257981018119,0.6198164795869656,-4.618206342977599,0.6400747268409855,-0.020258247254019923,False,568,0.31866197183098594,591,0.3130287648054145,703,750,807,0.6962899050905953,12,807,352,1.9234972677595628,7.779999999999984,1.007839106865768,False,13.773333333333332,
d330h06_b045_c1,run50F_d330h06_b045_c1_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50F/d330h06_b045_c1/mt5/reports/Project_Obsidian_Prime_v2_run50F_d330h06_b045_c1_logreg_deep_v1_routed_oos.htm,922,4.728205128205128,114.76,1.0442981050941276,0.12446854663774404,0.5,-0.37553145336225596,0.6243405042080044,-5.017327442062599,0.6282646615086092,-0.0039241573006048025,False,466,0.3197424892703863,456,0.34210526315789475,570,611,658,0.7136659436008677,12,658,264,1.353846153846154,332.1,1.534094564168543,False,14.213333333333333,
d320h06_b045_c1,run50F_d320h06_b045_c1_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50F/d320h06_b045_c1/mt5/reports/Project_Obsidian_Prime_v2_run50F_d320h06_b045_c1_logreg_deep_v1_routed_validation_is.htm,1159,6.333333333333333,53.400000000000006,1.0165891058658334,0.046074201898188095,0.5,-0.4539257981018119,0.6198164795869656,-4.618206342977599,0.6400747268409855,-0.020258247254019923,False,568,0.31866197183098594,591,0.3130287648054145,703,750,807,0.6962899050905953,12,807,352,1.9234972677595628,7.779999999999984,1.007839106865768,False,13.773333333333332,
d320h06_b045_c1,run50F_d320h06_b045_c1_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50F/d320h06_b045_c1/mt5/reports/Project_Obsidian_Prime_v2_run50F_d320h06_b045_c1_logreg_deep_v1_routed_oos.htm,922,4.728205128205128,114.76,1.0442981050941276,0.12446854663774404,0.5,-0.37553145336225596,0.6243405042080044,-5.017327442062599,0.6282646615086092,-0.0039241573006048025,False,466,0.3197424892703863,456,0.34210526315789475,570,611,658,0.7136659436008677,12,658,264,1.353846153846154,332.1,1.534094564168543,False,14.213333333333333,
