variant_id,run_id,record_view,split,status,report_path,trade_count,trades_per_day,net_profit,profit_factor_recomputed,expectancy,cost_stress_per_trade,cost_stressed_expectancy,mfe_capture_ratio,mfe_capture_ratio_all_trades,reference_mfe_capture_ratio,mfe_capture_delta_vs_d390h10,mfe_capture_materially_worse_than_d390h10,winner_count,winner_truncation_rate,loser_count,loser_escape_rate,same_direction_reentry_3_bars,same_direction_reentry_6_bars,same_direction_reentry_12_bars,same_move_reentry_ratio,cooldown_window_bars,cooldown_removed_trades,trade_count_after_cooldown,trades_per_day_after_cooldown,net_after_cooldown,profit_factor_after_cooldown,density_gain_survives_12bar_cooldown,mt5_average_position_holding_bars,error
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_validation_is.htm,748,4.087431693989071,341.54,1.129371212121212,0.4566042780748663,0.5,-0.04339572192513369,0.6400747268409855,-4.6793342664473165,,,False,380,0.29210526315789476,368,0.3179347826086957,394,419,456,0.6096256684491979,12,456,292,1.5956284153005464,141.07000000000002,1.1491131640699324,False,22.68,
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_oos.htm,594,3.046153846153846,273.2,1.1212659239202805,0.4599326599326599,0.5,-0.040067340067340085,0.6282646615086092,-2.9547866025737006,,,False,308,0.32142857142857145,286,0.26573426573426573,302,332,354,0.5959595959595959,12,354,240,1.2307692307692308,373.66,1.462273137781297,False,22.613333333333333,
v54_et40_slot20_first_h2c0_no_b,run50BP_stage56_extratrees_slot_lifecycle_v1_v54_et40_slot20_first_h2c0_no_b,mt5_routed_v54_et40_slot20_first_h2c0_no_b_validation_is,validation_is,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BP/mt5/reports/Project_Obsidian_Prime_v2_run50BP_stage56_extratrees_slot_lifecycle_v1_x01_x01_rt_val.htm,1703,9.306010928961749,2.739999999999989,1.0009329120475037,0.0016089254257193124,0.5,-0.49839107457428067,0.6152337621891809,-5.431547372547655,0.6400747268409855,-0.02484096465180463,False,837,0.3225806451612903,866,0.3002309468822171,1051,1201,1274,0.7480916030534351,12,1274,429,2.3442622950819674,-109.58,0.8609655522425935,False,3.646666666666667,
v54_et40_slot20_first_h2c0_no_b,run50BP_stage56_extratrees_slot_lifecycle_v1_v54_et40_slot20_first_h2c0_no_b,mt5_routed_v54_et40_slot20_first_h2c0_no_b_oos,oos,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BP/mt5/reports/Project_Obsidian_Prime_v2_run50BP_stage56_extratrees_slot_lifecycle_v1_x01_x01_rt_oos.htm,1405,7.205128205128205,-9.71999999999999,0.9960744243902635,-0.006918149466192164,0.5,-0.5069181494661922,0.6118791933501878,-4.260785657030032,0.6282646615086092,-0.016385468158421346,False,718,0.3342618384401114,687,0.3318777292576419,948,1056,1111,0.7907473309608541,12,1111,294,1.5076923076923077,18.309999999999995,1.0328206782820677,False,4.68,
v55_et40_slot25_first_h2c0_no_b,run50BP_stage56_extratrees_slot_lifecycle_v1_v55_et40_slot25_first_h2c0_no_b,mt5_routed_v55_et40_slot25_first_h2c0_no_b_validation_is,validation_is,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BP/mt5/reports/Project_Obsidian_Prime_v2_run50BP_stage56_extratrees_slot_lifecycle_v1_x02_x02_rt_val.htm,1396,7.628415300546448,-173.57,0.9424231567913276,-0.12433381088825214,0.5,-0.6243338108882521,0.6118621027393756,-5.245416315901422,0.6400747268409855,-0.028212624101609962,False,670,0.3402985074626866,725,0.3117241379310345,775,878,995,0.7127507163323782,12,995,401,2.191256830601093,-87.85000000000001,0.8853866325718535,False,13.633333333333335,
v55_et40_slot25_first_h2c0_no_b,run50BP_stage56_extratrees_slot_lifecycle_v1_v55_et40_slot25_first_h2c0_no_b,mt5_routed_v55_et40_slot25_first_h2c0_no_b_oos,oos,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BP/mt5/reports/Project_Obsidian_Prime_v2_run50BP_stage56_extratrees_slot_lifecycle_v1_x02_x02_rt_oos.htm,1150,5.897435897435898,187.29999999999998,1.084596484255027,0.1628695652173913,0.5,-0.33713043478260873,0.6016148766269062,-4.196491379898406,0.6282646615086092,-0.026649784881702998,False,601,0.3410981697171381,549,0.29690346083788705,708,775,857,0.7452173913043478,12,857,293,1.5025641025641026,10.799999999999997,1.0176291991773039,False,10.95,
v56_et40_slot30_first_h2c0_no_b,run50BP_stage56_extratrees_slot_lifecycle_v1_v56_et40_slot30_first_h2c0_no_b,mt5_routed_v56_et40_slot30_first_h2c0_no_b_validation_is,validation_is,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BP/mt5/reports/Project_Obsidian_Prime_v2_run50BP_stage56_extratrees_slot_lifecycle_v1_x03_x03_rt_val.htm,1242,6.786885245901639,-481.61,0.8289810093319888,-0.3877697262479871,0.5,-0.8877697262479871,0.5882834855708945,-6.153927639412278,0.6400747268409855,-0.05179124127009105,False,575,0.36695652173913046,667,0.3058470764617691,154,742,848,0.6827697262479872,12,848,394,2.1530054644808745,-204.26999999999998,0.7588083880413734,False,14.51,
v56_et40_slot30_first_h2c0_no_b,run50BP_stage56_extratrees_slot_lifecycle_v1_v56_et40_slot30_first_h2c0_no_b,mt5_routed_v56_et40_slot30_first_h2c0_no_b_oos,oos,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BP/mt5/reports/Project_Obsidian_Prime_v2_run50BP_stage56_extratrees_slot_lifecycle_v1_x03_x03_rt_oos.htm,1001,5.133333333333334,-26.84999999999998,0.987059866791329,-0.0268231768231768,0.5,-0.5268231768231768,0.5985928426416827,-4.1251218816357795,0.6282646615086092,-0.02967181886692649,False,500,0.34,501,0.3333333333333333,137,642,720,0.7192807192807192,12,720,281,1.441025641025641,8.990000000000004,1.0165668478761634,False,12.013333333333334,
v57_et40_slot25_prob035_h2c0_no_b,run50BP_stage56_extratrees_slot_lifecycle_v1_v57_et40_slot25_prob035_h2c0_no_b,mt5_routed_v57_et40_slot25_prob035_h2c0_no_b_validation_is,validation_is,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BP/mt5/reports/Project_Obsidian_Prime_v2_run50BP_stage56_extratrees_slot_lifecycle_v1_x04_x04_rt_val.htm,1314,7.180327868852459,-161.10999999999999,0.944157527694206,-0.12261035007610349,0.5,-0.6226103500761035,0.6145733495818704,-5.285486698358272,0.6400747268409855,-0.025501377259115166,False,626,0.3354632587859425,687,0.29985443959243085,725,826,925,0.7039573820395738,12,925,389,2.1256830601092895,-81.43,0.8926178921827196,False,12.813333333333333,
v57_et40_slot25_prob035_h2c0_no_b,run50BP_stage56_extratrees_slot_lifecycle_v1_v57_et40_slot25_prob035_h2c0_no_b,mt5_routed_v57_et40_slot25_prob035_h2c0_no_b_oos,oos,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BP/mt5/reports/Project_Obsidian_Prime_v2_run50BP_stage56_extratrees_slot_lifecycle_v1_x04_x04_rt_oos.htm,1080,5.538461538461538,8.110000000000001,1.0036267205681118,0.007509259259259261,0.5,-0.49249074074074073,0.601019456411152,-4.121768751888555,0.6282646615086092,-0.027245205097457204,False,560,0.3392857142857143,520,0.3,660,732,803,0.7435185185185185,12,803,277,1.4205128205128206,-64.14999999999999,0.9029779639740468,False,10.666666666666668,
